Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
WingGeom,0.210741,0.210741,0.000896,0.000896
Totals,0.210741,0.210741,0.000896,0.000896

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
WingGeom_Surf0,0.105371,0.105371
WingGeom_Surf1,0.105371,0.105371
